"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USW00094815","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","2016","7.6","882","882","       142","        70",,,"         3","       114","        40","       152","        10","-6",,,"3.12","93","5568",,,"5568",,,,,,,,,,,"37.96",,,"51.6","60.9","42.3",,"       250",,,,"40.0",,
"USC00208941","WHITE LAKE 4 E, MI US","2016",,"522","522","       148","        76","       62","        17","         8","       147","        51","       132","         6","-13","10","11.0","1.91","92","6637",,,"6637",,,,,,,,,,,"35.40",,"69.3","47.7","57.7","37.7",,,,,,,,
"US1MIKN0048","KENTWOOD 1.6 WSW, MI US","2016",,,,"       160","        90",,,,,,,,,,,"1.95",,,,,,,,,,,,,,,,"44.70",,,,,,,,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2016","8.1","875","875","       122","        62",,,"         2","       127","        50","       140","        14","-7",,,"1.89","94","5925",,,"5925",,,,,,,,,,,"28.37",,,"50.5","59.5","41.5",,"       250","       240",,,"42.9","55.0",
"USC00209110","WYANDOTTE, MI US","2016",,,,"       136","        78","       50","        14",,,,,,,"10","8.7","2.74",,,,,,,,,,,,,,,,"37.78",,"47.4",,,,,,,,,,,
"US1MIME0010","MECOSTA 4.6 SSW, MI US","2016",,,,"       146","        76",,"        18",,,,,,,,"7.3","2.41",,,,,,,,,,,,,,,,"34.83",,"61.2",,,,,,,,,,,
"USW00094814","HOUGHTON LAKE ROSCOMMON CO AIRPORT, MI US","2016","7.8","443","443","       158","        84","      117","        27","         8","       157","        65","       128","         6","-12","14","7.0","2.45","92","7064",,,"7064",,,,,,,,,,,"33.33",,"93.0","46.4","56.3","36.5",,"       220","       220",,,"40.9","59.1",
"USW00054810","CHATHAM 1 SE, MI US","2016",,"198","198","       165","        95",,,"        23","       172","        74","        97","         1","-23",,,"3.86","91","8280",,,"8280",,,,,,,,,,,"40.79",,,"42.7","52.3","33.1",,,,,,,,
"US1MIKN0053","ADA 1.8 W, MI US","2016",,,,"       162","        85",,"        23",,,,,,,,"9.4","3.32",,,,,,,,,,,,,,,,"45.54",,"87.4",,,,,,,,,,,
"USC00204104","IRONWOOD, MI US","2016",,"237","237","       181","       104",,,"        32","       167","        93","       103","         0","-16",,,"2.59","89","8380",,,"8380",,,,,,,,,,,"47.22",,,"42.4","51.5","33.3",,,,,,,,
"USC00205434","MIDLAND, MI US","2016",,"724","724","       122","        72",,,"         1","       127","        49","       133","        10","-2",,,"2.81","93",,,,,,,,,,,,,,,"33.68",,,"50.0","58.6","41.4",,,,,,,,
"USC00208706","WATTON 2 WSW, MI US","2016",,,,,,,,,,,,,,,,,,"8505",,,"8505",,,,,,,,,,,,,,,,,,,,,,,,
"USC00203932","HOUGHTON LAKE 6 WSW, MI US","2016",,"393","393","       138","        69","      116","        42","        11","       176","        53","       137","         9","-14","12","6.0","1.70","94","7198",,,"7198",,,,,,,,,,,"30.21",,"102.2","46.2","58.0","34.4",,,,,,,,
"US1MIOK0085","TROY 1.8 S, MI US","2016",,,,"       117","        65",,,,,,,,,,,"2.05",,,,,,,,,,,,,,,,"32.99",,,,,,,,,,,,,
"USC00207188","RUDYARD 5 SE, MI US","2016",,"146","146","       162","        93","      131","        46","        21","       198","        73","       106","         0","-24","15","7.0","1.80","88",,,,,,,,,,,,,,,"36.28",,"122.7","42.1","52.9","31.3",,,,,,,,
"US1MISW0005","DURAND 6.2 WNW, MI US","2016",,,,"       154","        79",,,,,,,,,,,"2.61",,,,,,,,,,,,,,,,"34.86",,,,,,,,,,,,,
"USC00203628","HARRISVILLE 2 NNE, MI US","2016",,"349","349","       135","        55","      110","        21","         4","       144","        58","        92","         2","-10","11","11.2","2.03","90","7299",,,"7299",,,,,,,,,,,"27.17",,"77.8","45.6","53.0","38.2",,,,,,,,
"US1MIOD0003","LUZERNE 2.4 NE, MI US","2016",,,,"       130","        82",,,,,,,,,,,"0.98",,,,,,,,,,,,,,,,"28.71",,,,,,,,,,,,,
"USR0000MWDO","WINDIGO MICHIGAN, MI US","2016",,"222","222",,,,,"        16","       137","        83","        85","         0","-10",,,,"87","7804",,,"7804",,,,,,,,,,,,,,"43.4","50.3","36.5",,,,,,,,
