"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00205451","MILAN WWTP, MI US","42.0811","-83.6769","207.3","2013",,"608","608","       138","        74",,,"         4","       150","        57","       137","         8","-3",,,"3.25","93","6324",,,"6324",,,,,,,,,,,"41.61",,"47.8","57.3","38.4",,,,,,,
"USC00207072","ROCKFORD 3 SW, MI US","43.08333","-85.59083","190.5","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00204808","LEXINGTON WATER PLANT, MI US","43.263","-82.5327","189.6","2013",,"460","460","       159","        82",,,"         2","       150","        65","       102","         6","-1",,,"2.01","96","7038",,,"7038",,,,,,,,,,,"36.55",,"45.7","53.8","37.6",,,,,,,
"USC00203278","GOODRICH, MI US","42.9163","-83.5097","277.4","2013",,"592","592","       137","        84",,,"         5","       158","        59","       143","         7","-3",,,"4.21","94","6874",,,"6874",,,,,,,,,,,"38.04",,"46.8","56.6","37.1",,,,,,,
"USC00201896","CROSS VILLAGE 1 E, MI US","45.6413","-85.0141","219.8","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36.21",,,,,,,,,,,
"USC00202984","FRANKFORT 2 NE, MI US","44.64822","-86.20986","289.0","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00204130","ISHPEMING WWTP, MI US","46.4911","-87.6894","428.5","2013",,"241","241","       198","        89",,,"        42","       203","       107","        93","         4","-17",,,"2.30","91","8999",,,"8999",,,,,,,,,,,"34.61",,"38.4","48.6","28.1",,,,,,,
"USC00208972","WHITMORE LAKE 1 NW, MI US","42.4355","-83.783","276.1","2013",,"485","485","       117","        76",,,"         7","       153","        57","       129","         5","-5",,,"1.72","91","6733",,,"6733",,,,,,,,,,,"36.15",,"46.1","55.9","36.4",,,,,,,
"USC00201780","COPPER HARBOR FORT WILKINS, MI US","47.4679","-87.8671","190.5","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MILV0015","PINCKNEY 3.4 NW, MI US","42.481559","-84.003267","277.4","2013",,,,"       159","        75",,,,,,,,,,,"1.64",,,,,,,,,,,,,,,,"36.95",,,,,,,,,,,
"US1MIVB0002","GRAND JUNCTION 1.3 ENE, MI US","42.40925586","-86.04813018","202.7","2013",,,,"       147","        91",,,,,,,,,,,"3.20",,,,,,,,,,,,,,,,"50.32",,,,,,,,,,,
"USC00208293","TROUT LAKE 1 SW, MI US","46.1796","-85.0311","250.9","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USR0000MSPI","SPINCICH LAKE MICHIGAN, MI US","46.4578","-85.6272","273.1","2013",,"139","139",,,,,"        44","       222","       104","        96","         1","-21",,,,"90","9426",,,"9426",,,,,,,,,,,,,"37.7","48.5","26.9",,,,,,,
"USC00200417","BAD AXE, MI US","43.808","-82.9938","217.9","2013",,"494","494","       181","        82",,,"         3","       153","        73","       123","         7","-3",,,"3.71","95","7094",,,"7094",,,,,,,,,,,"42.27",,"45.5","54.1","37.0",,,,,,,
"USC00200779","BIG RAPIDS WATER TREATMENT PLANT, MI US","43.7072","-85.4819","273.7","2013",,,,"       172","        90","      101","        22",,,"        76","       123","         6",,"12","7.8","2.41","95",,,,,,,,,,,,,,,"42.31","71.3",,"54.2",,,,,,,,
"USC00200770","BIG BAY 1 NW, MI US","46.8325","-87.7504","233.2","2013",,"290","290","       185","       103","      167","        59","        16","       194","       102","        84","         5","-8","34","9.6","2.54","93","8790",,,"8790",,,,,,,,,,,"41.05","184.6","40.2","48.2","32.1",,,,,,,
"USC00201502","CHELSEA, MI US","42.3263","-84.0133","274.3","2013",,"590","590","       115","        71",,,"         6","       147","        55","       135","         8","-5",,,"2.42","93","6611",,,"6611",,,,,,,,,,,"32.32",,"47.1","56.7","37.6",,,,,,,
"USW00094815","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","42.22826","-85.546","263.3","2013","7.4","701","701","       135","        81",,,"         1","       138","        58","       145","        10","-1",,,"3.53","94","6366",,,"6366",,,,,,,,,,,"39.47",,"48.7","57.7","39.6","       320","       260",,,"40.9","59.1",
"USC00208941","WHITE LAKE 4 E, MI US","42.698","-83.4716","321.0","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","42.66314","-83.41016","295.4","2013","8.1","616","616","       122","        71",,,"         1","       149","        64","       133","         5","-3",,,"1.48","94","6633",,,"6633",,,,,,,,,,,"31.85",,"47.3","56.0","38.7","       280","       270",,,"40.9","59.1",
"USC00209110","WYANDOTTE, MI US","42.20844","-83.1626","176.8","2013",,,,"       144","        79",,,,,,,,,,,"2.32",,,,,,,,,,,,,,,,"42.51",,,,,,,,,,,
"USW00094814","HOUGHTON LAKE ROSCOMMON CO AIRPORT, MI US","44.35904","-84.6739","350.6","2013","7.6","368","368","       170","        77","      130","        26","        16","       178","        79","       129","         6","-10","14","4.6","1.33","94","7731",,,"7731",,,,,,,,,,,"30.74","65.5","43.4","53.5","33.3","       280","       190",,,"33.1","52.1",
