"STATION","NAME","DATE","AWND","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USW00014815","BATTLE CREEK KELLOGG AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203632","HART 3 WSW, MI US","2021",,,"       83","        22",,"19","5.4","2.87",,,,,,,,,,,,,,,"32.85","55.4",,,,,,,,,,
"USW00014817","CADILLAC, MI US","2021",,"447",,,"-11",,,"3.46","91","7486",,,,,,,,,,,,,"37.90",,"46.3","56.3","36.3",,,,,,,
"USC00202783","FIFE LAKE 2 WNW, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,"31.56",,,,,,,,,,,
"USC00204967","LUPTON 1 S, MI US","2021",,"431",,,"-16",,,,"92","7618",,,,,,,,,,,,,"36.60",,"45.6","57.2","34.1",,,,,,,
"US1MIOW0054","SPRING LAKE 1.4 NNW, MI US","2021",,,,,,,,"2.85",,,,,,,,,,,,,,,"35.82",,,,,,,,,,,
"USC00202423","EAST TAWAS, MI US","2021",,"501","       81","        15","-6","12","6.5","1.52","92","7019",,,,,,,,,,,,,"28.93","38.0","47.4","57.6","37.1",,,,,,,
"USC00208774","WELLSTON 1 N, MI US","2021",,,,,,,,,,"7627",,,,,,,,,,,,,,,,,,,,,,,,
"USC00206354","PARADISE, MI US","2021",,"175","      144","        47","-12","23","7.2","1.05","92","8524",,,,,,,,,,,,,"32.01","137.9","42.8","51.7","33.9",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2021","7.8","1277",,,"0",,,"2.52","93","5488",,,,,,,,,,,,,"33.19",,"53.9","62.3","45.6","       240","       240",,,"40.0","59.9",
"USW00014822","DETROIT CITY AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00208772","WELLSTON TIPPY DAM, MI US","2021",,,,,,,,"2.96",,,,,,,,,,,,,,,"37.96",,,,,,,,,,,
"USW00014824","ESCANABA, MI US","2021",,,"       86","        16",,"17","11.0","1.35",,,,,,,,,,,,,,,"24.43","55.5",,,,,,,,,,
"US1MIHL0001","LITCHFIELD 0.3 ENE, MI US","2021",,,,,,,,"2.53",,,,,,,,,,,,,,,"40.78",,,,,,,,,,,
"USC00204258","KALKASKA 11 SE, MI US","2021",,,,,,,,,,"8273",,,,,,,,,,,,,,,,,,,,,,,,
"USC00207407","SCOTTVILLE 2 SE, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021",,,,,,,,"2.32",,,,,,,,,,,,,,,"36.95",,,,,,,,,,,
"USC00204257","KALKASKA, MI US","2021",,"404","      107","        36","-15","13","9.8","2.74","91","7944",,,,,,,,,,,,,"34.37","102.4","45.1","55.1","35.1",,,,,,,
"US1MIMB0009","NEW BALTIMORE 0.4 SSE, MI US","2021",,,,,,,,"2.55",,,,,,,,,,,,,,,"37.11",,,,,,,,,,,
"US1MIMB0007","SHELBY 0.4 SSE, MI US","2021",,,,,,,,"3.44",,,,,,,,,,,,,,,"40.07",,,,,,,,,,,
"USC00206680","PORT HURON, MI US","2021",,"988","       35","         7","3","7","3.0","2.28","93","5815",,,,,,,,,,,,,"33.47","14.6","52.2","59.2","45.1",,,,,,,
"US1MIMT0008","EDMORE 3.8 ESE, MI US","2021",,,,,,,,"3.68",,,,,,,,,,,,,,,"38.68",,,,,,,,,,,
"USC00208184","THREE RIVERS, MI US","2021",,"804","       39","         7","-8","12","7.0","3.66","92","6273",,,,,,,,,,,,,"44.29","23.9","50.6","60.6","40.7",,,,,,,
"US1MIKN0008","GRAND RAPIDS 3.1 NNE, MI US","2021",,,,,,,,"2.47",,,,,,,,,,,,,,,"35.47",,,,,,,,,,,
"US1MIWS0031","DEXTER 2.2 SE, MI US","2021",,,,,,,,"3.76",,,,,,,,,,,,,,,"42.65",,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","2021",,"801","       56","        16","-10","13","7.4","5.33","91","6440",,,,,,,,,,,,,"45.54","51.9","50.1","60.8","39.4",,,,,,,
"USR0000MWAT","WATERSMEET MICHIGAN, MI US","2021",,"311",,,"-29",,,,"93","8737",,,,,,,,,,,,,,,"42.5","54.2","30.7",,,,,,,
