"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00202598","ENGADINE MDOT, MI US","2015",,"179","179",,,,,"        50","       183","        74","        98","         0","-31",,,,"89","9646",,,"9646",,,,,,,,,,,"30.43",,,"40.5","51.5","29.5",,,,,,,,
"USC00204659","LAPEER 2 W, MI US","2015",,"559","559","       155","        74",,,"        22","       131","        55","       139","         3","-25",,,"1.77","91","7419",,,"7419",,,,,,,,,,,"34.94",,,"47.7","57.8","37.6",,,,,,,,
"USC00205073","MANISTIQUE WWTP, MI US","2015",,"136","136","       116","        73",,,"        35","       157","        77","        54","         0","-24",,,"1.47","86","9382",,,"9382",,,,,,,,,,,"28.31",,,"41.1","48.9","33.3",,,,,,,,
"USC00201150","BURTON 4 N, MI US","2015",,"486","486","       145","        73",,,"        26","       144","        49","       139","         8","-24",,,"2.08","92","7471",,,"7471",,,,,,,,,,,"30.95",,,"46.8","58.4","35.2",,,,,,,,
"USR0000MBAL","BALDWIN MICHIGAN, MI US","2015",,,,,,,,,,,,,,,,,,"8379",,,"8379",,,,,,,,,,,,,,,,,,,,,,,,
"USW00054854","GAYLORD 9 SSW, MI US","2015",,"239","239","       153","        87",,,"        23","       148","        79","       106","         0","-23",,,"1.46","90","9073",,,"9073",,,,,,,,,,,"33.85",,,"42.9","51.8","34.0",,,,,,,,
"USW00004854","GAYLORD OTSEGO CO AIRPORT, MI US","2015","7.6","320","320","       131","        62",,,"        34","       155","        78","       121","         2","-31",,,"1.20","91","9154",,,"9154",,,,,,,,,,,"26.31",,,"43.2","52.8","33.5",,"       230","       230",,,"44.1","59.9",
"USC00202804","FILION 5 NNW, MI US","2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094850","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","2015",,"238","238","       156","        77","      134","        40","        39","       177","        92","        95","         2","-28","37","9.2","1.86","91","10045",,,"10045",,,,,,,,,,,"29.81",,"122.6","40.5","49.9","31.2",,,"       180",,,,"42.9",
"US1MIMD0005","MIDLAND 1.8 ENE, MI US","2015",,,,"       120","        65",,,,,,,,,,,"2.37",,,,,,,,,,,,,,,,"31.08",,,,,,,,,,,,,
