"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"US1MIOW0002","HOLLAND 3.9 NNE, MI US","42.822957","-86.06784","188.1","2011",,,,"       165","        85",,,,,,,,,,,"2.15",,,,,,,,,,,,,,,,"43.49",,,,,,,,,,,
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2011",,,,,,,,,,,,,,,,,,"7522",,,"7522",,,,,,,,,,,,,,,,,,,,,,
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2011",,"243","243","       170","        89",,,"         6","       164","        83","        76","         2","-5",,,"2.20","92","8495",,,"8495",,,,,,,,,,,"37.35",,"42.0","49.4","34.6",,,,,,,
"USC00206300","OWOSSO WWTP, MI US","43.0161","-84.18","222.5","2011",,"681","681","       155","        76",,,"        10","       146","        58","       128","        12","-9",,,"4.24","97","7203",,,"7203",,,,,,,,,,,"50.19",,"47.9","57.4","38.4",,,,,,,
"USC00206663","PORT HOPE, MI US","43.9483","-82.7141","182.9","2011",,"425","425","       164","        85",,,"         4","       138","        67","        84","         9","-9",,,"2.30","97","7413",,,"7413",,,,,,,,,,,"37.79",,"45.6","52.9","38.2",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2011",,,,"       118","        55",,,,,,,,,,,"2.74",,,,,,,,,,,,,,,,"28.89",,,,,,,,,,,
"USC00203391","GRAYLING, MI US","44.6546","-84.6998","346.6","2011",,"427","427","       153","        72","       95","        33","        25","       181","        74","       119","        12","-27","24","7.9","1.97","95","8362",,,"8362",,,,,,,,,,,"33.00","72.7","43.6","54.4","32.8",,,,,,,
"USC00205451","MILAN WWTP, MI US","42.0811","-83.6769","207.3","2011",,"846","846","       155","        89",,,"         6","       135","        44","       128","        21","-11",,,"4.25","99","6675",,,"6675",,,,,,,,,,,"52.74",,"49.4","58.6","40.2",,,,,,,
"USC00207072","ROCKFORD 3 SW, MI US","43.08333","-85.59083","190.5","2011",,,,"       150","        79",,,,,,,,,,,"5.44",,,,,,,,,,,,,,,,"47.54",,,,,,,,,,,
"USC00204808","LEXINGTON WATER PLANT, MI US","43.263","-82.5327","189.6","2011",,"499","499","       162","        85",,,"         6","       127","        56","       105","        10","-6",,,"3.64","98","7125",,,"7125",,,,,,,,,,,"42.01",,"46.9","54.8","39.0",,,,,,,
