category,col_name
get rid of,ZFURNAC
get rid of,ZPKGHT
get rid of,ZBOILER
get rid of,ZSTHW
get rid of,ZHTPMPH
get rid of,ZSLFCON
get rid of,ZOTHTEQ
get rid of,ZFURNP
get rid of,ZPKGHP
get rid of,ZBOILP
get rid of,ZSTHWP
get rid of,ZHTPHP
get rid of,ZSLFCNP
get rid of,ZOTHTP
get rid of,ZMAINHT
get rid of,ZNWMNHT
get rid of,ZPKGHTTYP
get rid of,ZPKGFURN
get rid of,ZPKGHTP
get rid of,ZPKGCOIL
get rid of,ZPKGPIU
get rid of,ZPKGDUCT
get rid of,ZBLRRAD
get rid of,ZBLRFNCL
get rid of,ZBLRINDC
get rid of,ZBLRLOOP
get rid of,ZBLRAIR
get rid of,ZBLRPKG
get rid of,ZBLRDUCT
get rid of,ZDHRAD
get rid of,ZDHFNCL
get rid of,ZDHINDC
get rid of,ZDHLOOP
get rid of,ZDHAIR
get rid of,ZDHPKG
get rid of,ZDHDUCT
get rid of,ZHPHPKG
get rid of,ZHPHSPLT
get rid of,ZHPHROOM
get rid of,ZHPHMINI
get rid of,ZHPHVRF
get rid of,ZHPHAIR
get rid of,ZHPHGRD
get rid of,ZHPHDUAL
get rid of,ZHPHWTR
get rid of,ZHPHBKUP
get rid of,ZSHRDNT
get rid of,ZSHBBRD
get rid of,ZSHPORT
get rid of,ZSHWALL
get rid of,ZSHFURN
get rid of,ZSHUNIT
get rid of,ZSHPTAC
get rid of,ZHTVCAV
get rid of,ZHTVVAV
get rid of,ZHTVFLR
get rid of,ZHTVOAS
get rid of,ZHTVDEM
get rid of,ZHTVNON
get rid of,ZELCOOL
get rid of,ZNGCOOL
get rid of,ZFKCOOL
get rid of,ZPRCOOL
get rid of,ZSTCOOL
get rid of,ZHWCOOL
get rid of,ZCWCOOL
get rid of,ZOTCOOL
get rid of,ZCOOLP
get rid of,ZRCAC
get rid of,ZPKGCL
get rid of,ZCHILLR
get rid of,ZCHWT
get rid of,ZHTPMPC
get rid of,ZACWNWL
get rid of,ZEVAPCL
get rid of,ZOTCLEQ
get rid of,ZRCACP
get rid of,ZPKGCP
get rid of,ZCHILP
get rid of,ZCHWTP
get rid of,ZHTPCP
get rid of,ZACWNWP
get rid of,ZEVAPP
get rid of,ZOTCLP
get rid of,ZMAINCL
get rid of,ZNWMNCL
get rid of,ZPKGCLTYP
get rid of,ZCHLAIRCL
get rid of,ZCHLWTRCL
get rid of,ZCHLABSRP
get rid of,ZHTRCHLR
get rid of,ZCHLAIR
get rid of,ZCHLFNCL
get rid of,ZCHLINDC
get rid of,ZCHLLOOP
get rid of,ZCHLBEAM
get rid of,ZCHLPKG
get rid of,ZCHLDUCT
get rid of,ZDCWAIR
get rid of,ZDCWFNCL
get rid of,ZDCWINDC
get rid of,ZDCWLOOP
get rid of,ZDCWBEAM
get rid of,ZDCWPKG
get rid of,ZDCWDUCT
get rid of,ZHPCPKG
get rid of,ZHPCSPLT
get rid of,ZHPCROOM
get rid of,ZHPCMINI
get rid of,ZHPCVRF
get rid of,ZHPCAIR
get rid of,ZHPCGRD
get rid of,ZHPCDUAL
get rid of,ZHPCWTR
get rid of,ZCLVCAV
get rid of,ZCLVVAV
get rid of,ZCLVFLR
get rid of,ZCLVOAS
get rid of,ZCLVDEM
get rid of,ZCLVNON
get rid of,ZEMCS
get rid of,ZRDHTNF
get rid of,ZHWRDHT
get rid of,ZRDCLNF
get rid of,ZHWRDCL
get rid of,ZECN
get rid of,ZECNTYPE
get rid of,ZMAINT
get rid of,ZELWATR
get rid of,ZNGWATR
get rid of,ZFKWATR
get rid of,ZPRWATR
get rid of,ZSTWATR
get rid of,ZHWWATR
get rid of,ZWOWATR
get rid of,ZCOWATR
get rid of,ZSOWATR
get rid of,ZOTWATR
get rid of,ZWTHTEQ
get rid of,ZBOOSTWT
get rid of,ZINSTWT
get rid of,ZELCOOK
get rid of,ZNGCOOK
get rid of,ZFKCOOK
get rid of,ZPRCOOK
get rid of,ZSTCOOK
get rid of,ZHWCOOK
get rid of,ZWOCOOK
get rid of,ZCOCOOK
get rid of,ZSOCOOK
get rid of,ZOTCOOK
get rid of,ZELMANU
get rid of,ZNGMANU
get rid of,ZFKMANU
get rid of,ZPRMANU
get rid of,ZSTMANU
get rid of,ZHWMANU
get rid of,ZWOMANU
get rid of,ZCOMANU
get rid of,ZSOMANU
get rid of,ZOTMANU
get rid of,ZNGGENR
get rid of,ZFKGENR
get rid of,ZPRGENR
get rid of,ZWOGENR
get rid of,ZCOGENR
get rid of,ZSOGENR
get rid of,ZOTGENR
get rid of,ZPVC
get rid of,ZFUELCL
get rid of,ZLRGTRB
get rid of,ZMCROTB
get rid of,ZENGINE
get rid of,ZGENUSE
get rid of,ZCOGEN
get rid of,ZTOGRID
get rid of,ZPRAMTC
get rid of,ZWOAMT
get rid of,ZWOSRC
get rid of,ZWOEXP
get rid of,ZWOEXPC
get rid of,ZENRGYPLN
get rid of,ZSNACK
get rid of,ZFASTFD
get rid of,ZCAF
get rid of,ZFDPREP
get rid of,ZKITCHN
get rid of,ZBREAKRM
get rid of,ZOTFDRM
get rid of,ZHWTRM
get rid of,ZLAUNDR
get rid of,ZCONFSP
get rid of,ZCONFSPP
get rid of,ZMEDEQP
get rid of,ZXRAYN
get rid of,ZCTSCAN
get rid of,ZMRI
get rid of,ZLINACC
get rid of,ZOUTSURG
get rid of,ZLABEQP
get rid of,ZMCHEQP
get rid of,ZPOOL
get rid of,ZHTPOOL
get rid of,ZPOOLSRC
get rid of,ZSTRLZR
get rid of,ZRFGEQP
get rid of,ZRFGRES
get rid of,ZRFGCOMP
get rid of,ZRFGWI
get rid of,ZRFGOP
get rid of,ZRFGCL
get rid of,ZRFGVEN
get rid of,ZRFGICE
get rid of,ZRFGSTO
get rid of,ZRFGRSN
get rid of,ZRFGCOMPN
get rid of,ZRFGWIN
get rid of,ZRFGOPN
get rid of,ZRFGCLN
get rid of,ZRFGVNN
get rid of,ZRFGICN
get rid of,ZRFGSTP
get rid of,ZWHRECOV
get rid of,ZWHHT2
get rid of,ZWHWT
get rid of,ZWHOT
get rid of,ZPCTERM
get rid of,ZPCTERMN
get rid of,ZPCTRMC
get rid of,ZMLTMON
get rid of,ZMLTMNC
get rid of,ZFLATC
get rid of,ZLAPTPN
get rid of,ZLAPTPC
get rid of,ZPRNTRN
get rid of,ZPRNTYP
get rid of,ZSERVER
get rid of,ZSERVERN
get rid of,ZSERVERC
get rid of,ZDATACNTR
get rid of,ZDCNTRSFC
get rid of,ZTRNGRM
get rid of,ZSTDNRM
get rid of,ZWBOARDS
get rid of,ZTVVIDEO
get rid of,ZTVVIDEON
get rid of,ZRGSTR
get rid of,ZRGSTRN
get rid of,ZCOPIER
get rid of,ZCOPIERN
get rid of,ZFAX
get rid of,ZLTOHRP
get rid of,ZLOHRPC
get rid of,ZLTNR24
get rid of,ZLTNHRP
get rid of,ZLNHRPC
get rid of,ZRDLTNF
get rid of,ZFLUOR
get rid of,ZCFLR
get rid of,ZBULB
get rid of,ZHALO
get rid of,ZHID
get rid of,ZLED
get rid of,ZOTLT
get rid of,ZFLUORP
get rid of,ZCFLRP
get rid of,ZBULBP
get rid of,ZHALOP
get rid of,ZHIDP
get rid of,ZLEDP
get rid of,ZOTLTP
get rid of,ZEMCSLT
get rid of,ZSCHED
get rid of,ZOCSN
get rid of,ZDIM
get rid of,ZDAYHARV
get rid of,ZTRIM
get rid of,ZPLGCTRL
get rid of,ZDRLGHT
get rid of,ZLTEXPC
get rid of,ZPKLT
get rid of,ZWINTYP
get rid of,ZTINT
get rid of,ZREFL
get rid of,ZAWN
get rid of,ZSKYLT
get rid of,ZDAYLTP
get rid of,FINALWT
get rid of,FINALWT1
get rid of,FINALWT2
get rid of,FINALWT3
get rid of,FINALWT4
get rid of,FINALWT5
get rid of,FINALWT6
get rid of,FINALWT7
get rid of,FINALWT8
get rid of,FINALWT9
get rid of,FINALWT10
get rid of,FINALWT11
get rid of,FINALWT12
get rid of,FINALWT13
get rid of,FINALWT14
get rid of,FINALWT15
get rid of,FINALWT16
get rid of,FINALWT17
get rid of,FINALWT18
get rid of,FINALWT19
get rid of,FINALWT20
get rid of,FINALWT21
get rid of,FINALWT22
get rid of,FINALWT23
get rid of,FINALWT24
get rid of,FINALWT25
get rid of,FINALWT26
get rid of,FINALWT27
get rid of,FINALWT28
get rid of,FINALWT29
get rid of,FINALWT30
get rid of,FINALWT31
get rid of,FINALWT32
get rid of,FINALWT33
get rid of,FINALWT34
get rid of,FINALWT35
get rid of,FINALWT36
get rid of,FINALWT37
get rid of,FINALWT38
get rid of,FINALWT39
get rid of,FINALWT40
get rid of,FINALWT41
get rid of,FINALWT42
get rid of,FINALWT43
get rid of,FINALWT44
get rid of,FINALWT45
get rid of,FINALWT46
get rid of,FINALWT47
get rid of,FINALWT48
get rid of,FINALWT49
get rid of,FINALWT50
get rid of,FINALWT51
get rid of,FINALWT52
get rid of,FINALWT53
get rid of,FINALWT54
get rid of,FINALWT55
get rid of,FINALWT56
get rid of,FINALWT57
get rid of,FINALWT58
get rid of,FINALWT59
get rid of,FINALWT60
get rid of,FINALWT61
get rid of,FINALWT62
get rid of,FINALWT63
get rid of,FINALWT64
get rid of,FINALWT65
get rid of,FINALWT66
get rid of,FINALWT67
get rid of,FINALWT68
get rid of,FINALWT69
get rid of,FINALWT70
get rid of,FINALWT71
get rid of,FINALWT72
get rid of,FINALWT73
get rid of,FINALWT74
get rid of,FINALWT75
get rid of,FINALWT76
get rid of,FINALWT77
get rid of,FINALWT78
get rid of,FINALWT79
get rid of,FINALWT80
get rid of,FINALWT81
get rid of,FINALWT82
get rid of,FINALWT83
get rid of,FINALWT84
get rid of,FINALWT85
get rid of,FINALWT86
get rid of,FINALWT87
get rid of,FINALWT88
get rid of,FINALWT89
get rid of,FINALWT90
get rid of,FINALWT91
get rid of,FINALWT92
get rid of,FINALWT93
get rid of,FINALWT94
get rid of,FINALWT95
get rid of,FINALWT96
get rid of,FINALWT97
get rid of,FINALWT98
get rid of,FINALWT99
get rid of,FINALWT100
get rid of,FINALWT101
get rid of,FINALWT102
get rid of,FINALWT103
get rid of,FINALWT104
get rid of,FINALWT105
get rid of,FINALWT106
get rid of,FINALWT107
get rid of,FINALWT108
get rid of,FINALWT109
get rid of,FINALWT110
get rid of,FINALWT111
get rid of,FINALWT112
get rid of,FINALWT113
get rid of,FINALWT114
get rid of,FINALWT115
get rid of,FINALWT116
get rid of,FINALWT117
get rid of,FINALWT118
get rid of,FINALWT119
get rid of,FINALWT120
get rid of,FINALWT121
get rid of,FINALWT122
get rid of,FINALWT123
get rid of,FINALWT124
get rid of,FINALWT125
get rid of,FINALWT126
get rid of,FINALWT127
get rid of,FINALWT128
get rid of,FINALWT129
get rid of,FINALWT130
get rid of,FINALWT131
get rid of,FINALWT132
get rid of,FINALWT133
get rid of,FINALWT134
get rid of,FINALWT135
get rid of,FINALWT136
get rid of,FINALWT137
get rid of,FINALWT138
get rid of,FINALWT139
get rid of,FINALWT140
get rid of,FINALWT141
get rid of,FINALWT142
get rid of,FINALWT143
get rid of,FINALWT144
get rid of,FINALWT145
get rid of,FINALWT146
get rid of,FINALWT147
get rid of,FINALWT148
get rid of,FINALWT149
get rid of,FINALWT150
get rid of,FINALWT151
get rid of,FINALWT152
get rid of,FINALWT153
get rid of,FINALWT154
get rid of,FINALWT155
get rid of,FINALWT156
get rid of,FINALWT157
get rid of,FINALWT158
get rid of,FINALWT159
get rid of,FINALWT160
get rid of,FINALWT161
get rid of,FINALWT162
get rid of,FINALWT163
get rid of,FINALWT164
get rid of,FINALWT165
get rid of,FINALWT166
get rid of,FINALWT167
get rid of,FINALWT168
get rid of,FINALWT169
get rid of,FINALWT170
get rid of,FINALWT171
get rid of,FINALWT172
get rid of,FINALWT173
get rid of,FINALWT174
get rid of,FINALWT175
get rid of,FINALWT176
get rid of,FINALWT177
get rid of,FINALWT178
get rid of,FINALWT179
get rid of,FINALWT180
get rid of,FINALWT181
get rid of,FINALWT182
get rid of,FINALWT183
get rid of,FINALWT184
get rid of,FINALWT185
get rid of,FINALWT186
get rid of,FINALWT187
get rid of,FINALWT188
get rid of,FINALWT189
get rid of,FINALWT190
get rid of,FINALWT191
get rid of,FINALWT192
get rid of,FINALWT193
get rid of,FINALWT194
get rid of,FINALWT195
get rid of,FINALWT196
get rid of,FINALWT197
get rid of,MFBTU
get rid of,MFEXP
get rid of,ELCNS
get rid of,ELBTU
get rid of,ELEXP
get rid of,NGCNS
get rid of,NGBTU
get rid of,NGEXP
get rid of,FKCNS
get rid of,FKBTU
get rid of,FKEXP
get rid of,DHCNS
get rid of,DHBTU
get rid of,DHEXP
get rid of,ZMFBTU
get rid of,ZMFEXP
get rid of,ZELCNS
get rid of,ZELEXP
get rid of,ZNGCNS
get rid of,ZNGEXP
get rid of,ZFKCNS
get rid of,ZFKEXP
get rid of,ZDHCNS
get rid of,ZDHEXP
