HDD65,CDD65,MFHTBTU,MFCLBTU,MFVNBTU,MFWTBTU,MFLTBTU,MFCKBTU,MFRFBTU,MFOFBTU,MFPCBTU,MFOTBTU,ELHTBTU,ELCLBTU,ELVNBTU,ELWTBTU,ELLTBTU,ELCKBTU,ELRFBTU,ELOFBTU,ELPCBTU,ELOTBTU,NGHTBTU,NGCLBTU,NGWTBTU,NGCKBTU,NGOTBTU,FKHTBTU,FKCLBTU,FKWTBTU,FKCKBTU,FKOTBTU,DHHTBTU,DHCLBTU,DHWTBTU,DHCKBTU,DHOTBTU,MFUSED,DHUSED,DHHT1,DHHT2,DHCOOL,DHCOOK,DHWATR,DHMANU,DHOTH,PUBCLIM
2724,1607,54630.0,35582.0,39100.0,5807.0,38669.0,0.0,16333.0,117193.0,88829.0,39570.0,12467.0,35582.0,39100.0,0.0,38669.0,0.0,16333.0,117193.0,88829.0,39570.0,42163.0,0.0,5807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3079,1324,741403.0,651692.0,320806.0,98164.0,334722.0,107223.0,417244.0,192253.0,462704.0,330166.0,26037.0,651692.0,320806.0,25533.0,334722.0,61382.0,417244.0,192253.0,462704.0,330166.0,715366.0,0.0,72631.0,45841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5437,287,88719.0,5662.0,44845.0,2301.0,44882.0,0.0,4875.0,5737.0,19765.0,30446.0,0.0,5662.0,44845.0,0.0,44882.0,0.0,4875.0,5737.0,19765.0,30446.0,88719.0,0.0,2301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
3064,1913,54644.0,13153.0,9560.0,399.0,13740.0,0.0,1036.0,1986.0,2565.0,10181.0,0.0,13153.0,9560.0,0.0,13740.0,0.0,1036.0,1986.0,2565.0,10181.0,54644.0,0.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5548,1131,382337.0,407818.0,374622.0,1084438.0,782020.0,278938.0,411986.0,10034.0,28737.0,658712.0,50422.0,407818.0,374622.0,0.0,782020.0,134523.0,411986.0,10034.0,28737.0,577189.0,331915.0,0.0,1084438.0,144415.0,0.0,0.0,0.0,0.0,0.0,81523.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
372,4740,0.0,126939.0,21168.0,0.0,34083.0,0.0,180599.0,279.0,1709.0,36894.0,0.0,126939.0,21168.0,0.0,34083.0,0.0,180599.0,279.0,1709.0,36894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
4957,905,51646.0,46264.0,52530.0,143314.0,63107.0,880212.0,288111.0,19075.0,10052.0,51884.0,32029.0,46264.0,52530.0,0.0,63107.0,0.0,288111.0,19075.0,10052.0,51884.0,19617.0,0.0,143314.0,880212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3977,906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5727,728,861718.0,60755.0,45529.0,8991.0,16796.0,0.0,6258.0,10443.0,5250.0,140512.0,0.0,60755.0,45529.0,8991.0,16796.0,0.0,6258.0,10443.0,5250.0,140512.0,861718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2444,1621,58268.0,33946.0,25936.0,3232.0,75082.0,0.0,2270.0,13487.0,18099.0,129218.0,0.0,33946.0,25936.0,0.0,75082.0,0.0,2270.0,13487.0,18099.0,129218.0,58268.0,0.0,3232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
